id,floors
6414100192,2.0
1321400060,2.0
3793500160,2.0
9297300055,2.0
1875500060,2.0
7137970340,2.0
3814700200,2.0
1794500383,2.0
1873100390,2.0
8562750320,2.0
2768000400,2.0
2078500320,2.0
5547700270,2.0
7203220400,2.0
9270200160,2.0
8035350320,2.0
4178300310,2.0
9822700295,2.0
9478500640,2.0
2799800710,2.0
7922800400,2.0
8079040320,2.0
5072410070,2.0
3394100030,2.0
3717000160,2.0
5416510140,2.0
3276920270,2.0
1531000030,2.0
5104520400,2.0
7437100340,2.0
4232902595,2.0
3342103156,2.0
1332700270,2.0
3869900162,2.0
2791500270,2.0
5036300431,2.0
7338200240,2.0
7214720075,2.0
2450000295,2.0
1853000400,2.0
3134100116,2.0
9545230140,2.0
8961960160,2.0
3626039325,2.0
3275860240,2.0
2331300505,2.0
7853210060,2.0
8929000270,2.0
1526069017,2.0
809001525,2.0
3224079105,2.0
3362900810,2.0
7855801670,2.0
6388930390,2.0
7215720160,2.0
1836980160,2.0
1762600070,2.0
1687900520,2.0
7234600798,2.0
3830630310,2.0
3127200041,2.0
6661200320,2.0
11510310,2.0
1954440060,2.0
7796450200,2.0
3278600320,2.0
2824079053,2.0
2222059065,2.0
9526600140,2.0
6300000550,2.0
2310030510,2.0
1025049114,2.0
4014400292,2.0
1102000196,2.0
1909600046,2.0
5611500140,2.0
626059335,2.0
705700390,2.0
7202340400,2.0
8096000060,2.0
1762600320,2.0
326069104,2.0
8029510030,2.0
1310430400,2.0
1422300030,2.0
3830630060,2.0
1873100060,2.0
3325069129,2.0
8078560140,2.0
4054500390,2.0
4215100060,2.0
1126049053,2.0
7424700045,2.0
7202360350,2.0
1509500060,2.0
6113400046,2.0
1115450240,2.0
6073240060,2.0
9297300045,2.0
9510920070,2.0
8079030390,2.0
3260800030,2.0
5104530560,2.0
8651520400,2.0
3204800200,2.0
1860600135,2.0
325059286,2.0
2597650240,2.0
3530210260,2.0
3179100060,2.0
2946001550,2.0
191100045,2.0
5009600070,2.0
3126069068,2.0
1115300070,2.0
7852110140,2.0
2757000030,2.0
5416510830,2.0
952003285,2.0
3211290370,2.0
1072010350,2.0
8856950070,2.0
723099065,2.0
6116500075,2.0
1118500030,2.0
6838700060,2.0
7683900200,2.0
8155830060,2.0
98020310,2.0
2883200160,2.0
624111000,2.0
808300310,2.0
713500030,2.0
8651600160,2.0
1223039290,2.0
8857320070,2.0
4047200695,2.0
1653500070,2.0
1923000030,2.0
9126100861,2.0
1151100070,2.0
8856950240,2.0
9385200055,2.0
1565950030,2.0
6700400140,2.0
1774220160,2.0
1525200060,2.0
8724300030,2.0
8678500060,2.0
6388900710,2.0
1442860160,2.0
305500140,2.0
5468750060,2.0
2944010240,2.0
646910160,2.0
8564950390,2.0
7504101040,2.0
11500890,2.0
8159610030,2.0
4055700030,2.0
7702010030,2.0
1529200340,2.0
2122039094,2.0
6154500070,2.0
1843100340,2.0
8944290160,2.0
4166600473,2.0
2621760350,2.0
4123840310,2.0
2172000075,2.0
8651611170,2.0
8820902200,2.0
8651610890,2.0
1853080570,2.0
3629920030,2.0
1604602050,2.0
5466000030,2.0
