id,bedrooms,sqft_living,price,standard
6762700020,6,12050,7700000.0,high_standard
9808700762,5,10040,7062500.0,high_standard
9208900037,6,9890,6885000.0,high_standard
2470100110,5,9200,5570000.0,high_standard
8907500070,5,8000,5350000.0,high_standard
7558700030,6,7390,5300000.0,high_standard
1247600105,5,8010,5110800.0,high_standard
1924059029,5,9640,4668000.0,high_standard
7738500731,5,6640,4500000.0,high_standard
3835500195,4,6430,4489000.0,high_standard
6065300370,5,7440,4208000.0,high_standard
6447300265,4,7080,4000000.0,high_standard
8106100105,4,5770,3850000.0,high_standard
2303900100,3,5510,3800000.0,high_standard
853200010,5,7050,3800000.0,high_standard
7397300170,4,5550,3710000.0,high_standard
4217402115,6,5480,3650000.0,high_standard
4389201095,5,5020,3650000.0,high_standard
2425049063,4,4830,3640900.0,high_standard
3625049042,5,5490,3635000.0,high_standard
4114601570,3,5020,3600000.0,high_standard
9253900271,5,4850,3567000.0,high_standard
2525049148,5,5450,3418800.0,high_standard
9362000040,3,5230,3400000.0,high_standard
1118000320,4,4260,3400000.0,high_standard
3126059023,4,4730,3395000.0,high_standard
9808100150,5,5350,3345000.0,high_standard
3625059152,3,4220,3300000.0,high_standard
1346300150,8,7710,3300000.0,high_standard
3625059043,5,6200,3300000.0,high_standard
6072800246,5,8020,3300000.0,high_standard
7524900003,2,6840,3278000.0,high_standard
251500080,4,4810,3204000.0,high_standard
1068000375,6,7100,3200000.0,high_standard
624069108,4,7000,3200000.0,high_standard
8964800890,3,4560,3200000.0,high_standard
7159200005,7,6210,3200000.0,high_standard
3025059124,5,4330,3168750.0,high_standard
333100295,3,4490,3120000.0,high_standard
2424049029,6,6980,3100000.0,high_standard
4131900066,3,3920,3100000.0,high_standard
3025059093,5,5090,3100000.0,high_standard
3225069065,4,4550,3075000.0,high_standard
3760500116,3,3930,3070000.0,high_standard
1732800780,5,4150,3065000.0,high_standard
1118000340,5,4590,3000000.0,high_standard
3761100045,4,4850,3000000.0,high_standard
518500480,3,4410,3000000.0,high_standard
8964800330,4,5090,3000000.0,high_standard
9808100100,5,5370,3000000.0,high_standard
1925059254,5,6670,2998000.0,high_standard
3303850390,5,7400,2983000.0,high_standard
1370800515,4,4470,2950000.0,high_standard
3625049014,4,4860,2950000.0,high_standard
2524049166,5,6240,2950000.0,high_standard
6613000930,4,3890,2950000.0,high_standard
1176001310,5,4340,2945000.0,high_standard
5317100750,4,4575,2920000.0,high_standard
2624049091,5,3750,2903000.0,high_standard
7960900060,4,5050,2900000.0,high_standard
6447300365,5,5190,2900000.0,high_standard
7159200040,4,4580,2900000.0,high_standard
1118000301,4,5780,2890000.0,high_standard
2303900035,5,8670,2888000.0,high_standard
5316101075,7,5350,2885000.0,high_standard
2303900090,4,5760,2880500.0,high_standard
6065300840,4,5040,2850000.0,high_standard
1069000070,5,4590,2795000.0,high_standard
7397300220,4,4430,2750000.0,high_standard
3859900060,5,6300,2750000.0,high_standard
624069035,4,4130,2750000.0,high_standard
5249800010,4,6410,2725000.0,high_standard
2525049086,4,3990,2720000.0,high_standard
8043700300,4,4420,2700000.0,high_standard
625059036,5,4230,2700000.0,high_standard
5442300807,5,3831,2700000.0,high_standard
2524069078,4,7850,2700000.0,high_standard
856000195,5,5305,2700000.0,high_standard
2525049263,5,4290,2680000.0,high_standard
3126059027,4,4700,2650000.0,high_standard
8084900160,5,4660,2641100.0,high_standard
2397101606,6,5540,2630000.0,high_standard
2923500230,4,5270,2600000.0,high_standard
3623500408,3,3410,2600000.0,high_standard
7768700300,4,5540,2575000.0,high_standard
2260300060,5,4780,2575000.0,high_standard
5316100780,4,3280,2575000.0,high_standard
825059178,4,4475,2574000.0,high_standard
6613000935,4,5300,2555000.0,high_standard
1954700410,4,4190,2546000.0,high_standard
1118001408,5,5410,2544750.0,high_standard
9185700485,4,4350,2538000.0,high_standard
9471200370,4,3710,2537000.0,high_standard
7490000040,5,3730,2535000.0,high_standard
9471200200,4,5040,2532000.0,high_standard
3377900195,4,6930,2525000.0,high_standard
7631800015,3,5480,2510000.0,high_standard
5700003585,5,5620,2500000.0,high_standard
3025300095,4,4300,2500000.0,high_standard
9471200265,4,3960,2500000.0,high_standard
